Message,Tag,Page নাম,Total Tagged (no confusion),Count 0,Count 1,Count 2,Count 3,Count 4,Count 5,Total Normal,Total Hate
ইমেল নাই,0,Humanist Asif,,,,,,,,,
নাম ভাইয়ের আজকের কথা বলার স্টাইলটা দারুন লাগছে,0,Humanist Asif,,,,,,,,,
হাওয়া বের হয়ে গেল নাকি,0,Humanist Asif,,,,,,,,,
ওমা,0,Humanist Asif,,,,,,,,,
কেমনে কি,0,Humanist Asif,,,,,,,,,
মনে আছে নাম ভাই কয়েক বছর আগে আমরা গ্রুপে মুক্তচিন্তা নিয়ে মুমিনদের সাথে চ্যাঁটে ডিবেট করতাম,0,Humanist Asif,,,,,,,,,
সুদো কোরান পড়তে গেছে,1,Humanist Asif,,,,,,,,,
আপনি বলছে,0,Humanist Asif,,,,,,,,,
আমি তাকে জাহান্নামের জন্য সৃষ্টি করেছি এই টাইপের একটা হাদীস বা আয়াত আছে কেউ রেফারেন্সটা দেন প্লিজ আর্জেন্ট দরকার,0,Humanist Asif,,,,,,,,,
পর্ণ মুমিন,2,Humanist Asif,,,,,,,,,
নাম ফোর্স জারজ সন্তান,0,Humanist Asif,,,,,,,,,
টাইম মতো ভাগবো,0,Humanist Asif,,,,,,,,,
এতো কামলা খাটে,0,Humanist Asif,,,,,,,,,
ফটো কমেন্ট করা যাচ্ছে না,0,Humanist Asif,,,,,,,,,
জ্ঞান ফিরতেছে,0,Humanist Asif,,,,,,,,,
ইসলাম ধর্ম মা কে চুদি আমি,2,Humanist Asif,,,,,,,,,
হে ইমেল চিনেনা ফিমেল চিনে আবাল,0,Humanist Asif,,,,,,,,,
কি দিয়া মন কারিলা ও বন্ধুরে অন্তরে পিরিতের আগুন জ্বালাইলা,0,Humanist Asif,,,,,,,,,
দেশের নামটা জানতে চাই,0,Humanist Asif,,,,,,,,,
গালাগালি করেন না,0,Humanist Asif,,,,,,,,,
ছেলেটি আসলে ভদ্র কিন্তু মুহাম্মদের উম্মত হওয়ার কারনেই এই অবস্থা ,2,Humanist Asif,,,,,,,,,
ইসলাম ধর্ম যেখানে খানকির ছেলে সেখানে,0,Humanist Asif,,,,,,,,,
ঐ শুয়রের বাচ্চাদের পুদে লাখ মেরে হুরের কাছে অর্থাৎ পতিতালয়ে পাঠিয়ে দেন,1,Humanist Asif,,,,,,,,,
প্লিজ ভাই সবাই,0,Humanist Asif,,,,,,,,,
সব ধর্ম নিয়ে বলা হয়,0,Humanist Asif,,,,,,,,,
শেড ফোর্স নাম না রেখে আনসার রাখ হারামজাদা,1,Humanist Asif,,,,,,,,,
সঠিক বলেছেন আমিও বয়কট করছি আপনারাও করুন,0,Mizanur Rahman Azhari,,,,,,,,,
সবাই বয়কট করুন  আমিও করেছি,0,Mizanur Rahman Azhari,,,,,,,,,
আলহাম্মদুলিল্লাহ আমিও করেছি,0,Mizanur Rahman Azhari,,,,,,,,,
ঠিক এই চ্যানেলে সব নাস্তিক এক হয়েছে,0,Mizanur Rahman Azhari,,,,,,,,,
বয়কট করেছি আলহামদুলিল্লাহ,0,Mizanur Rahman Azhari,,,,,,,,,
আমিও করছি,0,Mizanur Rahman Azhari,,,,,,,,,
আগে থেকেই বয়কট,0,Mizanur Rahman Azhari,,,,,,,,,
আলহামদুলিল্লাহ করেছি আপনারা সবাই করুন,0,Mizanur Rahman Azhari,,,,,,,,,
রাইট কথা,0,Mizanur Rahman Azhari,,,,,,,,,
এক কথায় নাস্তিক চ্যানেল,0,Mizanur Rahman Azhari,,,,,,,,,
কার্যকরী সিদ্ধান্ত,0,Mizanur Rahman Azhari,,,,,,,,,
ইনশাআল্লাহ সকল ধর্মপ্রাণ এবং দেশ প্রেমিক লোকরাই থাকবে আপনাদের সাথে আগামী সুন্দর বাংলাদেশ গড়তে হোক তরুণদের অগ্রযাত্রা,0,Mizanur Rahman Azhari,,,,,,,,,
আপনার সাথে সহমত পোষণ করলাম,0,Mizanur Rahman Azhari,,,,,,,,,
ধন্যবাদ প্রিয় শায়েখ,0,Mizanur Rahman Azhari,,,,,,,,,
বয়কট করলাম,0,Mizanur Rahman Azhari,,,,,,,,,
৭১ টিভি কেন  ইসলামের বিরুদ্ধে কোন টিভি চেনেল কথা বললে ছাড় দেয়া হবে না  হোক সেটা আমার রাজনৈতিক দল বা আমার পরিবার  ইসলাম মুসলিমের রিদয়ে ছিলো আচে থাকবে ইনশাআল্লাহ ,0,Mizanur Rahman Azhari,,,,,,,,,
হুজুর আপনার আর নুরুর বিকল্প বাংলাদেশ মানুষের স্বাধীনতার আর কোন পথ নাই  আপনারা যদি সাধারণ মানুষের জন্য কাজ করে যান বাংলাদেশের মানুষ আপনাদের জন্য দোয়া করবে ,0,Mizanur Rahman Azhari,,,,,,,,,
এদের যতো এলার্জি কেবল দেশের ইসলামিক স্কলার অথবা ইসলামের নামে হুজুর,0,Mizanur Rahman Azhari,,,,,,,,,
এই দেশ ইসলামী প্রিয় দেশ   যারাই ইসলামের বিরোধিতা করবে  তাদের কে দাঁত ভাঙ্গা জবাব দিব ,0,Mizanur Rahman Azhari,,,,,,,,,
আমাদের একতাই ওদের ধংসের কারন হবে ইনশাআল্লাহ,0,Mizanur Rahman Azhari,,,,,,,,,
ইনসাআল্লাহ যারাই ইসলাম ও আলেমদের নিয়ে কটুক্তি করবে তাদেরকেই বয়কট করব এটা প্রতেকটা মুমিন মুসলিমদের ইমানি দ্বায়িত্ব আপনার সাথে আছি হাশরের ময়দানেও থাকতে চাই  ইনসাআল্লাহ,0,Mizanur Rahman Azhari,,,,,,,,,
রিপোর্ট এবং ব্লক মারার সময় চলে এসেছে এক্ষুনি করছি ২মিনিট,0,Mizanur Rahman Azhari,,,,,,,,,
আসসালামু আলাইকুম,0,Mizanur Rahman Azhari,,,,,,,,,
ওদের চুলকানি ইসলাম কে নিয়ে তাই ইসলাম বিরুধী শক্তির বিরুদ্ধে সকল আলেম ওলামাদের একসাথে সোচ্চার হতে হবে,0,Mizanur Rahman Azhari,,,,,,,,,
অনেক কিছু বলতে ইচ্ছে করতেছে কিন্তু পারতেছি না,0,Mizanur Rahman Azhari,,,,,,,,,
সহমত পোষণ করছি,0,Mizanur Rahman Azhari,,,,,,,,,
চমৎকার জবাব ,0,Mizanur Rahman Azhari,,,,,,,,,
স্বতঃসাহস না থাকলে সাংবাদিক হবার কি দরকার কাজ কামের কি অভাব আছে নাকি দেশে  সাদা কে সাদা  কালো কে কালো বলুন কেউ  ছেড়ে যাবে না বরং আগলে রাখবে,0,Mizanur Rahman Azhari,,,,,,,,,
দেশের গনমাধ্যম হলুদ রং এ কানা হয়ে গেছে এরা যেন ক্ষমতাশীলদের কোন দোষই দেখতে পায় না এ যেন একতরফা ও ক্ষমতাশীলদের প্রতিনিধিত্ব মিডিয়াকে রাষ্ট্রের দর্পন বলা হয় যদি দর্পনই ভুল দেখায় তবে রাষ্ট্রের কি হবে শুধু ৭১ নয় পুরো ৭১ বেচে খাওয়া সিন্ডিকেট এবং হলুদ সাংবাদিকতাকে বয়কট করা উচিৎ যোগ্য নেতার খুব অভাব হক কথা বলা হুজুরদের শুধু ওয়াজের ময়দানে নয় রাজনৈতিক মাঠেও আসা উচিৎ  কোন লেভেল নিয়ে নয় সতন্ত্র হয়ে সংসদে এক সাইদী কি করেছেন জাতি দেখেছে  সেখানে অনেক হুজুর থাকলে কি হবে তা অনুমেয়   হকের জন্য রাজনীতি করেছিলেন আমাদের রাসুল এটাও ঈমানী দ্বায়িত্ব,0,Mizanur Rahman Azhari,,,,,,,,,
বয়কট ডিভিসি নিউজ টিভি,0,Mizanur Rahman Azhari,,,,,,,,,
আমরা মোটেও বিচলিত নইআল্লাহর রহমতে,0,Mizanur Rahman Azhari,,,,,,,,,
জি আমিও বয়কট  করেছি ২ দিন হলো,0,Mizanur Rahman Azhari,,,,,,,,,
ওকে,0,Mizanur Rahman Azhari,,,,,,,,,
অনেক আগে করছি,0,Mizanur Rahman Azhari,,,,,,,,,
সবাই মিলে বয়কট করা দরকার,0,Mizanur Rahman Azhari,,,,,,,,,
জাজাকআল্লাহ খয়রুন,0,Mizanur Rahman Azhari,,,,,,,,,
৭১ টিভি  মানেই দালালির এক ধাপ এগিয়ে,0,Mizanur Rahman Azhari,,,,,,,,,
আমি রিফ্রেশ দিয়ে দেখছি শুধু কমছে আর কমছে,0,Mizanur Rahman Azhari,,,,,,,,,
আনলাইকড,0,Mizanur Rahman Azhari,,,,,,,,,
জি আমিও করেছি,0,Mizanur Rahman Azhari,,,,,,,,,
সময়ের দাবি,0,Mizanur Rahman Azhari,,,,,,,,,
৭১টিভিকে গণমাধ্যম না বলে ইসলামের বিরুদ্ধে ঘৃণা বিদ্বেষ ছড়ানোর মাধ্যম বললেই যথার্থ হবে (পারফেক্ট বিশ্লেষণ মুহতারম)  তাদের বক্তব্য শুনে মনে হচ্ছে  দেলোয়ার বাহিনী গত কয়েক বছর ওয়াজ শুনে যা শিখেছে সেটাই এ বছর আমল করেছে  هداهم الله جميعاً إلى الهدى,0,Mizanur Rahman Azhari,,,,,,,,,
আমাদের ভালোবাসার সব যেন হয়  মহান আল্লাহর জন্য ,0,Mizanur Rahman Azhari,,,,,,,,,
জ্বি অব্যশই মুহতারাম,0,Mizanur Rahman Azhari,,,,,,,,,
অনেক আগেই করেছি,0,Mizanur Rahman Azhari,,,,,,,,,
আলহামদুলিল্লাহ,0,Mizanur Rahman Azhari,,,,,,,,,
একদম ঠিক কথা বলেছেন হুজুর,0,Mizanur Rahman Azhari,,,,,,,,,
আজ সপ্তাহ গেলো ভুলেও একাত্তর টিভি টিউন করিনি ,0,Mizanur Rahman Azhari,,,,,,,,,
নাস্তিকগুলা কুকুরের লেজের মতোই,2,Mizanur Rahman Azhari,,,,,,,,,
আল্লাহ আপনার বুদ্ধি শক্তি কে আরো বাড়িয়ে দিনআপনার দীর্ঘায়ু কামনা করি ভালো থাকবেন,0,Mizanur Rahman Azhari,,,,,,,,,
হুজুর আপনি বাংলাদেশের অহংকার,0,Mizanur Rahman Azhari,,,,,,,,,
চোরে চোরে মাসতুতো  ভাই আর ৭১ টিভি ও ডিবিসি নিউজ খালাতো ভাই,0,Mizanur Rahman Azhari,,,,,,,,,
প্রিয় মুহতারাম  ইসলামের বিপক্ষে গেলে বাবাকেও বয়কট করতে পারি আর একাত্তর টিভি চ্যানেল তো অনেক দূরের কথাপ্রয়োজনে আরও দুই একটা চ্যানেল বয়কট করবো,0,Mizanur Rahman Azhari,,,,,,,,,
সহমত পোষণ করছি,0,Mizanur Rahman Azhari,,,,,,,,,
আপনাকে সালাম আপনার শক্তিশালী কলম ও কন্ঠ সোচ্চার থাকুক সবসময়  মানুষ এতো বেশি ইসলাম বিদ্বেষী কিভাবে হয়,0,Mizanur Rahman Azhari,,,,,,,,,
৭১টিভি কে বয়কট করে কি লাভ যদি আমাদের বিবেক ৪২০ হয়ে থাকে অমানুষ নিয়ে যদি এত মাতামাতি করেন তাহলে মানুষ নিয়ে কথা বলার সময় কোথায় পাবেন আসুন শুধু ৭১টিভি নয় এদের মত আরোও যারা আছে তাদের কে ও বয়কট করি দেখবেন সমাজ একদিন ঠিক হয়ে যাবে কেউ কোন ধর্মের উপর আঘাত করে কথা বলতে সাহস পাবে না,0,Mizanur Rahman Azhari,,,,,,,,,
ইসলাম আছে  থাকবে আল্লাহ চাইলে তারাই উৎখাত হয়ে যাবে,0,Mizanur Rahman Azhari,,,,,,,,,
ইসলাম হচ্ছে চারা বীজ এর মতো যেখানেই ইসলাম কে গেড়ে দেওয়ার চেষ্টা করা হয়েছে সেখানেই ইসলাম ঢাল পালা ছড়িয়ে আরো বিশাল আকারে বেড়ে উঠেছে অথচ তারা কেন ইসলাম কে নিয়ে উঠে পড়ে লেগেছে আল্লাহ ওদেরকে হেদায়েত দাও আর যদি হেদায়েত না থাকে ওদের কপালে তাহলে ধ্বংস করে দাও ফেরাউন  ইবলিশ এবং নমরুদের যেমন ধ্বংস করেছিলে আল্লাহ আমিন সুম্মা আমিন ,0,Mizanur Rahman Azhari,,,,,,,,,
ভালো বলেছেন হুজুর,0,Mizanur Rahman Azhari,,,,,,,,,
ধন্যবাদ শায়েখ এগিয়ে যান নাস্তিকদের কথায় কান দিয়ে লাভ নেই,4,Mizanur Rahman Azhari,,,,,,,,,
আস্সালামু আলাইকুম এক ডিলে ২পাখি ধন্যবাদ আল্লাহ হাফেজ,0,Mizanur Rahman Azhari,,,,,,,,,
আসসালামু আলাইকুম  কেমন আছেন  ভালো থাকুন আল্লাহ্ হাফিজ,0,Mizanur Rahman Azhari,,,,,,,,,
সুন্দর উপস্থাপন হইছে হুজুর,0,Mizanur Rahman Azhari,,,,,,,,,
অবশ্যই বয়কট করলাম,0,Mizanur Rahman Azhari,,,,,,,,,
বয়কট করুন সবাই,0,Mizanur Rahman Azhari,,,,,,,,,
ইনশাআল্লাহ,0,Mizanur Rahman Azhari,,,,,,,,,
বয়কট একাত্তর টিভি,0,Mizanur Rahman Azhari,,,,,,,,,
আসসালামু আলাইকুম,0,Mizanur Rahman Azhari,,,,,,,,,
আমি আগে থেকেই বয়কট করছি,0,Mizanur Rahman Azhari,,,,,,,,,
ধন্যবাদ সময় মতো পোস্ট করার জন্য,0,Mizanur Rahman Azhari,,,,,,,,,
আলহাম্মদুলিল্লাহ আমিও করেছি,0,Mizanur Rahman Azhari,,,,,,,,,
কোন দিন ৭১ টিভি সাবস্কাইব ই করি নাই হযরত,0,Mizanur Rahman Azhari,,,,,,,,,
কোরআনের আইনের বাস্তবায়ন চাই,0,Mizanur Rahman Azhari,,,,,,,,,
ধর্ষকদের নুনু কেটে দেওয়ার আইন হোক,5,Mizanur Rahman Azhari,,,,,,,,,
আমি শুরু থেকেই বয়কট করে আসছি  কোনো দিন লাইক কিংবা সাবস্ক্রাইব ও করিনাই,0,Mizanur Rahman Azhari,,,,,,,,,
বেশি বেশি শেয়ার দিন    ৭১ টিভি বয়কট করুন   উদ্দেশ্য থাকবে ইসলামের এর জন্য,0,Mizanur Rahman Azhari,,,,,,,,,
আমিও বয়কট করেছি ,0,Mizanur Rahman Azhari,,,,,,,,,
ঠিক এই চ্যানেলে সব নাস্তিক এক হয়েছে,0,Mizanur Rahman Azhari,,,,,,,,,
বহু আগেই বয়কট করেছি আলহামদুলিল্লাহ,0,Mizanur Rahman Azhari,,,,,,,,,
হুজুরের কথার সাথে আমি এক মতআপনারা,0,Mizanur Rahman Azhari,,,,,,,,,
ধন্যবাদ হযরত,0,Mizanur Rahman Azhari,,,,,,,,,
সংবিধিবদ্ধ সতর্কীকরণ একাত্তরটিভি দেশে ও ইসলামের জন্য ক্ষতিকর,0,Mizanur Rahman Azhari,,,,,,,,,
সমাধান একটি প্রকাশ্য শাস্তির ব্যবস্থা করা  মৃত্যু দন্ডে চেয়ে তাদের আগা কেটে দেওয়া সমুচিত হবে,0,Mizanur Rahman Azhari,,,,,,,,,
ভালোবাসা অভিরাম,0,Mizanur Rahman Azhari,,,,,,,,,
মাশাল্লাহ খুব সুন্দর বলছেন,0,Mizanur Rahman Azhari,,,,,,,,,
বুঝলাম নাহ ভাই আপনাদের কান্ডটা  হুজুরের পোস্ট টি না পড়েই আপনারা কমেন্ট করে বসেন,0,Mizanur Rahman Azhari,,,,,,,,,
প্রিয় মুহাতারাম আপনাকে আল্লাহর জন‍্য ভালোবাসি,0,Mizanur Rahman Azhari,,,,,,,,,
ভাল লাগল  অনেক সুন্দর পরামর্শ ধন্যবাদ আপনাকে,0,Mizanur Rahman Azhari,,,,,,,,,
মাশাআল্লাহ প্রিয় মোহতারাম,0,Mizanur Rahman Azhari,,,,,,,,,
আপনাকে ভালোবাসি আল্লাহর খুশির জন্য,0,Mizanur Rahman Azhari,,,,,,,,,
হক কথার দাম নেই এখন আলু ৫৫ টাকা কেজি পিয়াজ মরিচ সহ অন্যান্য সবজি সব তো এখন বড়লোক মোটা চালের ৫২ টাকার ভাতের সাথে ভর্তা খাওয়াও শেষ এখন ,0,Mizanur Rahman Azhari,,,,,,,,,
আল্লাহ যেন সবাইকে সঠিক বোঝ দান করেন,0,Mizanur Rahman Azhari,,,,,,,,,
এতো দিন পরে উনি ৭১ টিভিকে বুঝতে পেরেছে,0,Mizanur Rahman Azhari,,,,,,,,,
ঠিক বলেছেন ভাইয়া,0,Mizanur Rahman Azhari,,,,,,,,,
শেষ গল্প,0,Mizanur Rahman Azhari,,,,,,,,,
পোষ্ট না পড়েই কমেন্ট করতে ব্যাস্ত হয়ে পড়ে শালার হুজুগে পাব্লিক সব,5,Mizanur Rahman Azhari,,,,,,,,,
বাস্তব কথা তুলে ধরেছেন  প্রিয় শায়েখ,0,Mizanur Rahman Azhari,,,,,,,,,
এক কুত্তারটিভি বয়কোট করছি,5,Mizanur Rahman Azhari,,,,,,,,,
সত্যের পক্ষে বক্তব্য  এজন্য আপনাকে ভালোবাসি ,0,Mizanur Rahman Azhari,,,,,,,,,
আমিন ইয়া রব,0,Mizanur Rahman Azhari,,,,,,,,,
ভালবাসার মানুষ,0,Mizanur Rahman Azhari,,,,,,,,,
আমীন,0,Mizanur Rahman Azhari,,,,,,,,,
আমীন ইয়া রব্বাল আলামীন,0,Mizanur Rahman Azhari,,,,,,,,,
যেদেশে জনগনের ভোটাধিকার ধর্ষন করে ধর্ষক সরকার ক্ষমতা কুক্ষীগত করে রাখে সে দেশে নারী ধর্ষন শিল্পের পর্যায়ে পৌঁছে যাওয়াতে আমি বিষ্মিত বা ঊদ্বীগ্ন কোনটাই হয়নি,0,Mizanur Rahman Azhari,,,,,,,,,
আলেম দের দেশছাড়া করলে কারাগারে বন্দি রাখলে যুবসমাজের এই অবস্থা হবে,0,Mizanur Rahman Azhari,,,,,,,,,
মাশাআল্লাহ দারুণ লিখেছেন,0,Mizanur Rahman Azhari,,,,,,,,,
আজকের লেখাটা একদম তাফসীরে বাসারীর মত হয়েছে প্রিয়,0,Mizanur Rahman Azhari,,,,,,,,,
সমাধান ধর্ষণলীগের  টিকা বের করা,2,Mizanur Rahman Azhari,,,,,,,,,
সহমত আপনার সাথে,0,Mizanur Rahman Azhari,,,,,,,,,
শেষ গল্প,0,Mizanur Rahman Azhari,,,,,,,,,
সঠিক বিচার নাহলে ধর্ষণ থামবেনা  ফাঁসির হুকুম হোক অপরাধীর,0,Mizanur Rahman Azhari,,,,,,,,,
অসাধারণ উপস্থাপন,0,Mizanur Rahman Azhari,,,,,,,,,
সিগারেট এক দুইটা টা খাইলে নেশা হয়না খাইতে খাইতে নেশায় ধরে  দেখতে দেখতে চাহিদা জাগে   পরে একটা অঘটন ঘটাই  সবল এর সাথে না পারলে দুর্বল এর সাথে  দৃষ্টি সংযত রাখো   ইসলাম তোমাকে সেটাই বলছে,0,Mizanur Rahman Azhari,,,,,,,,,
পড়া শেষ করলাম এখন শাইখ অসংখ্য ধন্যবাদ কষ্ট করে লেখার জন্য ,0,Mizanur Rahman Azhari,,,,,,,,,
খুব সুন্দর বলেছেন    মুহতারাম প্রিয় হুজুর,0,Mizanur Rahman Azhari,,,,,,,,,
পরিকল্পনার অংশবিশেষ,0,Mizanur Rahman Azhari,,,,,,,,,
চলমান ধর্ষণ ইস্যুতে এটাই আমার পড়া সবচেয়ে বেস্ট আর্টিকেল,0,Mizanur Rahman Azhari,,,,,,,,,
একজন নারীকে উলঙ্গ করে নির্যাতন করার ভিডিওটি অল্প কিছুক্ষন দেখে  নিজের মুখের ভেতর থুথু দলা পাকিয়ে আসে এটা কোন সভ্য সমাজ  দেশ এবং রাষ্ট্রের দৃশ্য হতে পারেনা ক্ষমতাশীল কারা কে দিলো তাদের এত ক্ষমতা তাদের মদদ দাতাদের পরিচয় কি কারা এরা কারা এইসব ক্ষমতাশীলদের বিরুদ্ধে আওয়াজ না তুললে  সাধারন মানুষের নিরাপত্তা নিশ্চিত করা সম্ভব না এখন আওয়াজ না তুললে  নির্যাতনের সময়কালে চিৎকার করা ছাড়া আর কিছুই আসলে আমাদের করার থাকবেনা জাস্ট অসুস্থ বোধ করছি  ক্ষমতা কি মনুষত্যের চেয়ে বড় কিছু এর লাগাম টেনে ধরবার কি কোন উপায় নেই আইনের হাত কি কেবল তেলমারা পর্যন্তই সীমাবদ্ধ নাকি তারা চাইলে এই রাষ্ট্রকে অমানুষ মুক্ত করতে পারে  কালো করতে করতে এখন ক্লান্ত লাগে এই দেশে   এর ওয়াজ বন্ধ করা সম্ভব কিন্তু ধর্ষণ নয়,0,Mizanur Rahman Azhari,,,,,,,,,
বড় কষ্ট আবরার হতে মন চায়কিন্তু পরিবার সমাজ রাষ্ট্র হতে দিচ্ছে না,0,Mizanur Rahman Azhari,,,,,,,,,
পরিক্ষা হচ্ছেনার স্ট্যাটাসে আমরা যেন নোয়াখালীর ধর্ষণের কথা ভুলে না যাই,0,Mizanur Rahman Azhari,,,,,,,,,
এই প্রজন্ম না পরোখ  পরবর্তী প্রজন্ম  তাদের ভাইয়ের বিচার আদায় করে নিবে  ইন শা আল্লাহ ,0,Mizanur Rahman Azhari,,,,,,,,,
শহীদ নামর আত্মার মাগফেরাত কামনা করছি,0,Mizanur Rahman Azhari,,,,,,,,,
শহীদ নাম যেখানে থাকুক ভালো থাকুক এই প্রার্থনা,0,Mizanur Rahman Azhari,,,,,,,,,
সর্বোচ্চ শাস্তির বিধান নেই  ক্ষমতার দাপটে টিকছেনা আইন,0,Mizanur Rahman Azhari,,,,,,,,,
এই ধর্ষক দের বিরুদ্ধে কি আমরা দলমত নির্বিশেষে এক কাতারে দাঁড়িয়ে প্রতিবাদ করতে পারি না,0,Mizanur Rahman Azhari,,,,,,,,,
সঠিক কথাই বলেছেন  তবে আমরা বুঝতে পারিনা,0,Mizanur Rahman Azhari,,,,,,,,,
ছোট লেখা দিয়ে পোস্ট দিবেন যাতে অল্প লেখাতে বুঝা যায়,0,Mizanur Rahman Azhari,,,,,,,,,
আমি আপনাকে শুধু আল্লাহর জন্য ভালোবাসি সুন্দর ব্যাখ্যা দেওয়ার জন্য অসংখ্য ধন্যবাদ,0,Mizanur Rahman Azhari,,,,,,,,,
পোশাক এবং  মানসিকতা  দুটাই দায়ী  আমার মনে হয় যে যেই পোশাক পড়ুক না কেন আমি না তাকালেই তো হলো শুধু শুধু অন্যরা কি গায়ে দিয়েছে না দিয়েছে তা বলে লাফালাফি না করে নিজের চোখ হেফাজত করলেই তো হয় তার মানে আমি বাজে পোশাক গায়ে দেওয়ার কথা বলছি তা নয় যেই বোন ইসলামি শরিয়াহ মানতে চায়না সে পরকালে কষ্ট পাবেই তাই বলে আমরা কি আর তার পোশাকের জন্য ধর্ষণ করে নিজের অবস্থান জাহান্নামে নিয়ে যেতে পারি আপনারাই বলেন,0,Mizanur Rahman Azhari,,,,,,,,,
অসাধারণ লেখনী,0,Mizanur Rahman Azhari,,,,,,,,,
বিয়েকে সহজ করতে হবেই তারপর রাষ্ট্র ব্যবস্থা এমন হতে হবে যাতে বেকার নামক সমস্যাটা নিয়ে শুধু সরকার চিন্তা করবে পরিবার বা ব্যক্তি নয় ধর্মীয় শিক্ষাকে বাধ্যতামূলক অর্থাৎ কোরআন অর্থসহকারে পড়ার জন্য ১ম শ্রেণী থেকে বাধ্যতামূলক করতে হবে,0,Mizanur Rahman Azhari,,,,,,,,,
জানি অনেকের হয় তো চুলকানি হবে তবু বলছি ইসলামের কিছু শাস্তি এমন আছে যা মানুষের কাছে খুবই অমানবিক মনে হবে তবে পৃথিবীতে শৃঙ্খল রক্ষার জন্য আল্লাহর আইনের উপরে অন্য কোন আইন কখনোই দুনিয়ায় শান্তি আনতে পারে না   ধর্ষণের শাস্তি যদি শিরচ্ছেদ করা হত তাহলে এমন অপকর্ম করার আগে দশবার ভাব তো,0,Mizanur Rahman Azhari,,,,,,,,,
এখন পর্যন্ত আমার পড়া সেরা একটা লেখা,0,Mizanur Rahman Azhari,,,,,,,,,
রাজনৈতিক ক্ষমতা মহড়াটাই বর্তমান ধর্ষণের যে ব্যাপকতা তার মূল কারণ বলে মনে করছি  একটি অবৈধ  অনির্বাচিত আর গায়ের জোরে ঠিকে থাকা সরকারের নেতাকর্মীরা নিজেদের সবকিছুর উর্ধ্বে ভাবছে বিধায় তারা তাদের ক্ষমতা প্রয়োগ করছে জায়গায় বেজায়গায়  যদিও ক্ষমতা চেঞ্জ হলে ধর্ষণ পুরোপুরি সেরে যাবেনা তবে আইনের শাসন ও বিচারব্যবস্থার রাজনীতিকরণ মুক্ত করা গেলে অনেকাংশেই তা নিয়ন্ত্রণে আসবে,0,Mizanur Rahman Azhari,,,,,,,,,
সারাজীবন আবরার কে মনে রাখবে জাতি,0,Mizanur Rahman Azhari,,,,,,,,,
আমিন চুম্মা আমিন,2,Mizanur Rahman Azhari,,,,,,,,,
শহীদ নাম রক্ত বৃথা যেতে পারে না,0,Mizanur Rahman Azhari,,,,,,,,,
আমিন  ইয়া রব,0,Mizanur Rahman Azhari,,,,,,,,,
ভারতীয় আধিপত্য বাদ বিরোধী আন্দোলনের প্রথম শহীদ আবরার ফাহাদ ভাইয়ের শাহাদাত বার্ষিকী আল্লাহ ভাইকে জান্নাতের সর্বোচ্চ স্থানে রাখুক,0,Mizanur Rahman Azhari,,,,,,,,,
এই কথার দলিল কি শহীদ,0,Mizanur Rahman Azhari,,,,,,,,,
হুজুর আপনি কেমন আছেন,0,Mizanur Rahman Azhari,,,,,,,,,
সময় উপযোগী পোষ্ট   বাস্তব  তুলে ধরছেন  প্রিয়  হুজুর,0,Mizanur Rahman Azhari,,,,,,,,,
এর চাইতে মার্জিত ভাষার মধ্যে কড়া করে বুঝানোর আর কোন শব্দ নেই   প্রত্যেকটা পয়েন্ট এসেছে  বাকিটুকু যার যার বুঝে নেয়ার দরকার,0,Mizanur Rahman Azhari,,,,,,,,,
সাধারণত তিনটি কারণে দিন দিন ধর্ষণ বেড়ে যাচ্ছে  ১  নারীদের বেপর্দা চলাফেরা ২  অশ্লীলতা প্রমোট করে পুরুষদের মস্তিষ্ক নষ্ট    করে ফেলা কারণে কুদৃষ্টি ও কুপ্রবৃত্তি ৩  দেশের দুর্বল আইন,0,Mizanur Rahman Azhari,,,,,,,,,
দারুন লিখেছেন তবে পতিতালয় বাড়ানো উচিত,0,Mizanur Rahman Azhari,,,,,,,,,
কি বলবো বুঝতে পারতেছি নাহ,0,Mizanur Rahman Azhari,,,,,,,,,
আমাদের দেশের নারীরা যে ভাবে চলাফেরা করে তাদের ধর্ষণ করা স্বাভাবিক মহান আল্লাহ পাক বলেছেন হে নারী তোমরা পদ্মায় নিজেকে আবৃত করো আমি মনে করি পদ্মা না থাকার কারণে আজকে আমাদের দেশে ধর্ষণ বেশি হয়,0,Mizanur Rahman Azhari,,,,,,,,,
মাশাল্লাহ সুন্দর কথা,0,Mizanur Rahman Azhari,,,,,,,,,
বেশক হযরত,0,Mizanur Rahman Azhari,,,,,,,,,
সহমত ভাই,0,Mizanur Rahman Azhari,,,,,,,,,
আল্লাহ সহায়,0,Mizanur Rahman Azhari,,,,,,,,,
১৪ ১৫ বছর বয়সেই পরিপূর্ণ সেক্সুয়াল অ্যাবিলিটি লাভ করে থাকে কিন্তু তারা বিয়ের পিরিতে বসে আরো ১৪ ১৫ বছর পর কি বলবো হুজুর   অনেক অবিবাহিত ২৫   ৩০ বছরের যুবক আছে যারা নারীদের সম্মান করে  অশ্লিল কাজে জড়ায় না আবার অনেক বিবাহিত পুরুষ আছে যাদের কাছ থেকে বাচ্চা মেয়েরাও রক্ষা পায় না তবে আমি বলি   বাংলাদেশে বিচারে অভাবে ধর্ষন গড়ে উঠছে,0,Mizanur Rahman Azhari,,,,,,,,,
কোরআনের আইন চালু হলে সমাধান হবে তা ছাড়া বিকল্প কোনো পথ নাই,0,Mizanur Rahman Azhari,,,,,,,,,
